,tic,lawsuit,SettlementAmount,Dismissed
310,CNCT,1,12750000.0,No
311,CNEP,1,,Ongoing
312,CNO,1,,Yes
313,CNOA,1,600000.0,Yes
314,COCO,1,,Ongoing
315,COGT,1,,Yes
316,COH,1,,Yes
317,COHM.PK,1,,Yes
318,COI,1,,Yes
319,COLE,1,,Ongoing
320,CONN,1,,Ongoing
321,COO,1,27000000.0,Yes
322,COOL,1,,No
323,CORS,1,10000000.0,No
324,COTY,1,,Ongoing
325,COV,1,,Ongoing
326,COVS,1,,Ongoing
327,CPD,1,2975000.0,No
328,CPKI,1,,Yes
329,CPLA,1,,Yes
330,CPO,1,6600000.0,No
331,CPRX,1,,Ongoing
332,CPS,1,10000000.0,No
333,CPWM,1,,No
334,CPY,1,,Yes
335,CPYJ.PK,1,,Yes
336,CRA,1,24750000.0,Yes
337,CRAY,1,,Yes
338,CRE,1,,Yes
339,CRI,1,20000000.0,No
340,CRMD,1,,Ongoing
341,CRMH,1,,Yes
342,CRMY,1,,Yes
343,CROX,1,10000000.0,No
344,CRR,1,,Ongoing
345,CRRS,1,,Ongoing
346,CRUS,1,,Yes
347,CS,1,70000000.0,No
348,CSC,1,97500000.0,No
349,CSCO,1,,Yes
350,CSFS,1,,Ongoing
351,CSIQ,1,,Yes
352,CSKI,1,,Yes
353,CSR,1,,Yes
354,CSTE,1,,Ongoing
355,CSTR,1,6000000.0,No
356,CSUN,1,,Yes
357,CTB,1,,Ongoing
358,CTCT,1,,Ongoing
359,CTE,1,,No
360,CTIC,1,19000000.0,No
361,CTIX,1,,Ongoing
362,CTL,1,,Ongoing
363,CTP,1,,Ongoing
364,CTRX,1,,Ongoing
365,CTV,1,,Yes
366,CUTR,1,,Yes
367,CV,1,,Yes
368,CVBF,1,,Yes
369,CVC,1,,Yes
370,CVGW,1,,Ongoing
371,CVH,1,10000000.0,No
372,CVLT,1,,Ongoing
373,CVS,1,,Ongoing
374,CVVT,1,,Ongoing
375,CWBS,1,,Ongoing
376,CWH,1,,Ongoing
377,CXDC,1,,Ongoing
378,CXR,1,,Yes
379,CXTI,1,4200000.0,No
380,CYBX,1,,Yes
381,CYH,1,,Ongoing
382,CYTR,1,,Ongoing
383,DAKT,1,,Yes
384,DB,1,,No
385,DBD,1,,No
386,DCN,1,,Ongoing
387,DCTH,1,,Ongoing
388,DDD,1,,Ongoing
389,DDMG,1,,Ongoing
390,DECK,1,,Yes
391,DEEP,1,1900000.0,No
392,DEER,1,2125000.0,Ongoing
393,DELL,1,,Ongoing
394,DEP,1,,Yes
395,DGIT,1,2000000.0,Ongoing
396,DGSE,1,1700000.0,No
397,DGW,1,5150000.0,No
398,DHB,1,35200000.0,No
399,DIL,1,4800000.0,No
400,DIOD,1,,Ongoing
401,DISH,1,,Yes
402,DITC,1,,Yes
403,DJSP,1,,Yes
404,DLLR,1,,Ongoing
405,DLM,1,,Yes
406,DM,1,,Yes
407,DMND,1,11000000.0,No
408,DNA,1,,Yes
409,DNDN,1,40000000.0,No
410,DNR,1,,Ongoing
411,DPH,1,284100100.0,No
412,DPTR,1,,Yes
413,DRCT,1,14940000.0,No
414,DRI,1,,Yes
415,DRL,1,129000000.0,Ongoing
416,DROOY,1,,Yes
417,DRYS,1,,Yes
418,DSCO,1,,Yes
419,DSKY,1,,Ongoing
420,DSL,1,,Yes
421,DUK,1,,Ongoing
422,DV,1,,Yes
423,DVAX,1,,Ongoing
424,DVOX,1,,Yes
425,DWA,1,,Ongoing
426,DWSN,1,,Yes
427,DYN,1,,Yes
428,DYP,1,4300000.0,No
429,EA,1,,Ongoing
430,EAD,1,,Yes
431,EBIX,1,6500000.0,No
432,EBR,1,,Ongoing
433,ECOM,1,,Ongoing
434,ECTY,1,,Ongoing
435,ECYT,1,,Ongoing
436,EDAP,1,,Ongoing
437,EDMC,1,,Ongoing
438,EDU,1,,Yes
439,EFSC,1,,Yes
440,EGMI,1,,Ongoing
441,EHTH,1,,Ongoing
442,EIGI,1,,Ongoing
443,EIHI,1,,Ongoing
444,EIX,1,,Ongoing
445,EK,1,,Yes
446,EKS,1,,Yes
447,EL,1,,Yes
448,ELN,1,,Ongoing
449,ELX,1,,Ongoing
450,EM,1,,Yes
451,EMKR,1,,Yes
452,EMMS,1,,Yes
453,ENCY,1,,Yes
