,gvkey,fyear,datafmt,tic,conm,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
55,1920,2013,STD,AVP,AVON PRODUCTS,6492.3,197.3,3504,433.4,433.4,2532.7,224.6,-0.13,-0.01,-0.13,-0.01,-5.5,-1,4.5,-55.9,-22.5,162.6,1393.3,4196.7,9955,1110.1,1127.5,163.6,1238.6,-50.4,122,5435.4,1058482703,6492.3,1
60,2390,2010,SUMM_STD,BRID,BRIDGFORD FOODS CORP,60.523,1.769,68.395,9.334,9.334,0,2.168,0.46,0.46,0.46,0.46,4.319,4.319,0,4.319,0,5.523,7.892,24.471,117.655,36.2,36.2,1.204,29.836,0,0,41.569,896495,60.523,1
61,2390,2010,STD,BRID,BRIDGFORD FOODS CORP,60.523,1.769,68.933,9.334,9.334,0,2.168,0.46,0.46,0.46,0.46,4.319,4.319,0,4.319,0,5.523,7.892,24.471,117.655,36.2,36.2,1.204,29.836,0,0,41.031,896495,60.523,1
62,2390,2011,SUMM_STD,BRID,BRIDGFORD FOODS CORP,56.966,1.852,78.934,9.278,9.278,0,1.802,-0.05,-0.05,-0.05,-0.05,-0.443,-0.443,0,-0.443,0,-1.112,7.903,23.096,118.263,24.838,24.838,-0.669,24.015,0,0,38.639,1030667,56.966,1
63,2390,2011,STD,BRID,BRIDGFORD FOODS CORP,56.966,1.852,79.226,9.278,9.278,0,1.802,-0.05,-0.05,-0.05,-0.05,-0.443,-0.443,0,-0.443,0.199,-1.112,7.903,23.096,118.263,24.838,24.838,-0.669,24.015,0,0,38.546,1030667,56.966,1
64,2390,2012,SUMM_STD,BRID,BRIDGFORD FOODS CORP,61.55,1.04,81.343,9.183,9.183,1.468,1.716,0.4,0.4,0.4,0.4,3.651,3.651,0,3.651,0,4.016,9.076,26.747,127.355,20.144,20.144,0.365,25.279,0,,40.28,479208,61.55,1
65,2390,2012,STD,BRID,BRIDGFORD FOODS CORP,61.55,1.04,82.398,9.183,9.183,1.468,1.716,0.4,0.4,0.4,0.4,3.651,3.651,0,3.651,0.439,4.016,9.076,26.747,127.355,20.144,20.144,0.365,25.279,0,,39.664,479208,61.55,1
66,2390,2013,SUMM_STD,BRID,BRIDGFORD FOODS CORP,64.764,4.378,81.33,9.152,9.152,1.328,2.236,0.32,0.32,0.32,0.32,2.916,2.916,0,2.916,0,3.085,11.212,29.205,129.003,33.455,33.455,0.169,24.76,0,,42.352,442178,64.764,1
67,2390,2013,STD,BRID,BRIDGFORD FOODS CORP,64.764,4.378,82.805,9.152,9.152,1.328,2.236,0.32,0.32,0.32,0.32,2.916,2.916,0,2.916,0.153,3.085,11.212,29.205,129.003,33.455,33.455,0.169,24.76,0,,41.03,442178,64.764,1
68,2435,2009,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,3383,34,1561,222.885,221.773,508,59,2.01,2.01,2.02,2.02,449,449,,449,-4,682,468,2464,3226,1895,1895,233,981,0,31,889,123195176,3383,1.5
69,2435,2009,STD,BF.B,BROWN-FORMAN  -CL B,3383,34,804,148.575,147.834,508,59,3.02,3.02,3.03,3.03,449,449,,449,7.6,682,468,2464,2469,1895,1895,233,981,0,31,889,123195176,3383,1.5
70,2435,2010,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,3712,39,1629,219.791,218.426,504,56,2.6,2.6,2.61,2.61,572,572,0,572,73,829,393,2710,3404,2060,2060,257,1269,0,29,934,79478077,3712,1.5
71,2435,2010,STD,BF.B,BROWN-FORMAN  -CL B,3712,39,811,146.513,145.603,504,56,3.9,3.9,3.92,3.92,572,572,0,572,17,829,393,2710,2589,2060,2060,257,1269,0,29,934,79478077,3712,1.5
72,2435,2011,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,3477,58,1773,216.104,214.549,503,49,2.37,2.37,2.39,2.39,513,513,0,513,4,760,399,3031,3614,2069,2069,247,1345,0,31,1005,68758173,3477,1.5
73,2435,2011,STD,BF.B,BROWN-FORMAN  -CL B,3477,58,882,144.055,143.019,503,49,3.56,3.56,3.59,3.59,513,513,0,513,4,760,399,3031,2723,2069,2069,247,1345,0,31,1005,68758173,3477,1.5
74,2435,2012,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,3626,95,1778,214.986,213.369,997,51,2.75,2.75,2.77,2.77,591,591,0,591,-5,865,450,2500,3784,1628,1628,274,1348,0,27,1058,96416568.5,3626,1
75,2435,2012,STD,BF.B,BROWN-FORMAN  -CL B,3626,95,843,214.986,213.369,997,51,2.75,2.75,2.77,2.77,591,591,0,591,4,865,450,2500,2849,1628,1628,274,1348,0,27,1058,96416568.5,3626,1
76,2435,2013,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,4103,126,1818,215.082,213.454,997,50,3.06,3.06,3.08,3.08,659,659,0,659,17,947,526,2894,3946,2032,2032,288,1616,0,26,1122,84096461,4103,1
