,gvkey,fyear,datafmt,tic,conm,Sum,diff,,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
30,1932,2010,STD,BTI,BRITISH AMER TOBACCO PLC,,,,42882.112,764.982,14836.347,997,991.5,13723.507,783.453,4.45,4.45,4.46,4.46,4431.357,4833.088,401.731,4431.357,1005.097,6754.01,4797.686,6064.447,23195.744,14169.875,14696.282,1920.922,1557.67,0,897.354,,41733652,42882.112,1
31,1932,2011,STD,BTI,BRITISH AMER TOBACCO PLC,,,,42134.79,792.387,14997.866,991,985,13221.987,776.85,4.85,4.85,4.88,4.88,4808.702,5243.738,435.036,4808.702,1207.225,7661.295,4734.124,6486.697,24259.472,12689.068,13166.054,2417.557,1006.798,0,880.948,,72344381,42134.79,1
32,1932,2012,STD,BTI,BRITISH AMER TOBACCO PLC,,,,44439.167,1079.796,15200.09,974.5,969.5,14770.774,738.295,6.41,6.41,6.44,6.44,6246.234,6703.196,456.962,6246.234,1326.978,9184.778,5205.466,8256.218,25074.378,12150.967,12650.211,2481.582,1697.753,0,943.196,,57269012,44439.167,1
33,1932,2013,STD,BTI,BRITISH AMER TOBACCO PLC,,,,44552.569,951.348,15418.793,954,950.5,16103.298,697.765,6.78,6.78,6.81,6.81,6470.49,6959.423,488.933,6470.49,1470.115,9611.263,5230.754,11142.7,25639.978,10995.192,11494.069,2651.84,1793.307,0,1017.644,,58240883,44552.569,1
34,2390,2010,SUMM_STD,BRID,BRIDGFORD FOODS CORP,897023.393,0,,60.523,1.769,68.395,9.334,9.334,0,2.168,0.46,0.46,0.46,0.46,4.319,4.319,0,4.319,0,5.523,7.892,24.471,117.655,36.2,36.2,1.204,29.836,0,0,41.569,896495,60.523,1
35,2390,2010,STD,BRID,BRIDGFORD FOODS CORP,897023.393,0,,60.523,1.769,68.933,9.334,9.334,0,2.168,0.46,0.46,0.46,0.46,4.319,4.319,0,4.319,0,5.523,7.892,24.471,117.655,36.2,36.2,1.204,29.836,0,0,41.031,896495,60.523,1
36,2390,2011,SUMM_STD,BRID,BRIDGFORD FOODS CORP,1031141.358,-0.398,,56.966,1.852,78.934,9.278,9.278,0,1.802,-0.05,-0.05,-0.05,-0.05,-0.443,-0.443,0,-0.443,0,-1.112,7.903,23.096,118.263,24.838,24.838,-0.669,24.015,0,0,38.639,1030667,56.966,1
37,2390,2011,STD,BRID,BRIDGFORD FOODS CORP,1031141.756,-0.398,,56.966,1.852,79.226,9.278,9.278,0,1.802,-0.05,-0.05,-0.05,-0.05,-0.443,-0.443,0,-0.443,0.199,-1.112,7.903,23.096,118.263,24.838,24.838,-0.669,24.015,0,0,38.546,1030667,56.966,1
38,2390,2012,SUMM_STD,BRID,BRIDGFORD FOODS CORP,479721.992,-0.878,,61.55,1.04,81.343,9.183,9.183,1.468,1.716,0.4,0.4,0.4,0.4,3.651,3.651,0,3.651,0,4.016,9.076,26.747,127.355,20.144,20.144,0.365,25.279,0,,40.28,479208,61.55,1
39,2390,2012,STD,BRID,BRIDGFORD FOODS CORP,479722.87,-0.878,,61.55,1.04,82.398,9.183,9.183,1.468,1.716,0.4,0.4,0.4,0.4,3.651,3.651,0,3.651,0.439,4.016,9.076,26.747,127.355,20.144,20.144,0.365,25.279,0,,39.664,479208,61.55,1
40,2390,2013,SUMM_STD,BRID,BRIDGFORD FOODS CORP,442732.828,-0.306,,64.764,4.378,81.33,9.152,9.152,1.328,2.236,0.32,0.32,0.32,0.32,2.916,2.916,0,2.916,0,3.085,11.212,29.205,129.003,33.455,33.455,0.169,24.76,0,,42.352,442178,64.764,1
41,2390,2013,STD,BRID,BRIDGFORD FOODS CORP,442733.134,-0.306,,64.764,4.378,82.805,9.152,9.152,1.328,2.236,0.32,0.32,0.32,0.32,2.916,2.916,0,2.916,0.153,3.085,11.212,29.205,129.003,33.455,33.455,0.169,24.76,0,,41.03,442178,64.764,1
42,2435,2009,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,123218665.2,1646.609,,3383,34,1561,222.885,221.773,508,59,2.01,2.01,2.02,2.02,449,449,,449,-4,682,468,2464,3226,1895,1895,233,981,0,31,889,123195176,3383,1.5
43,2435,2009,STD,BF.B,BROWN-FORMAN  -CL B,123217018.6,1646.609,,3383,34,804,148.575,147.834,508,59,3.02,3.02,3.03,3.03,449,449,,449,7.6,682,468,2464,2469,1895,1895,233,981,0,31,889,123195176,3383,1.5
44,2435,2010,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,79503913.14,1829.881,,3712,39,1629,219.791,218.426,504,56,2.6,2.6,2.61,2.61,572,572,0,572,73,829,393,2710,3404,2060,2060,257,1269,0,29,934,79478077,3712,1.5
45,2435,2010,STD,BF.B,BROWN-FORMAN  -CL B,79502083.26,1829.881,,3712,39,811,146.513,145.603,504,56,3.9,3.9,3.92,3.92,572,572,0,572,17,829,393,2710,2589,2060,2060,257,1269,0,29,934,79478077,3712,1.5
